name	z	m_V
1993ah	0.0284880009	15.8465843
1993ag	0.0500430018	17.1823692
1993o	0.0529260002	17.3176918
1993b	0.0700860023	17.9467354
1992bs	0.0626680031	17.9834099
1992br	0.0875890031	18.7290573
1992bp	0.0785769969	17.988163
1992bo	0.0172269996	15.1543694
1992bl	0.0422330014	16.8364601
1992bh	0.0452950001	17.140274
1992bg	0.0364799984	16.405323
1992bc	0.019599	15.0852165
1992aq	0.100915	18.9567451
1992ag	0.0273419991	15.5857658
1992ae	0.074605003	18.0881157
1992p	0.0264890008	15.9806862
1990af	0.0499220006	17.0669746
1990o	0.0306039993	16.0502396
2001cz	0.0163456406	14.5440292
2001cn	0.0154363001	14.4409485
2001ba	0.0305289999	16.099247
2000ca	0.0245249998	15.5581703
2000bh	0.0239530001	15.4687119
1999gp	0.0260380004	15.8672638
1993ac	0.0489480011	17.2315979
1994m	0.0243139993	15.6094933
1994s	0.0151660005	14.6016655
1994t	0.0357199982	16.4605408
1995ac	0.0488179997	16.8820114
1995ak	0.0219800062	15.3529739
1996ab	0.124399997	19.5447884
1996bl	0.0359999985	16.3210182
1996bo	0.0163209997	14.5174217
1996bv	0.0167299993	14.7263374
1996c	0.0274999999	16.1497078
2000fa	0.0217930004	15.4737854
2000dk	0.0164500009	14.6812973
2000cn	0.0232079998	15.5855446
2000cf	0.0364569984	16.6342316
1999gd	0.0192639995	15.4526138
1999ek	0.0176049992	14.8437958
1999cc	0.0315279998	16.2287674
1998eg	0.0235360004	15.6695976
1998ef	0.0167430006	14.5027275
1998dx	0.0537099987	16.9764366
1998co	0.0169910006	14.8787727
1998ab	0.0278650001	15.59338
1998v	0.0171729997	14.7606697
1997dg	0.0299549997	16.4722595
1997y	0.0165589992	14.8438339
1999aa	0.0149999997	14.6635056
1999ao	0.0544000007	17.4544373
1999ar	0.156100005	19.7292557
1999aw	0.0392999984	16.8343964
1999bi	0.1241	19.3220329
1999bm	0.144099995	19.3360405
1999bn	0.129899994	19.479187
1999bp	0.0784000009	18.1822395
2001ah	0.0582999997	17.5326309
2001ay	0.0308999997	16.4294739
2001az	0.0406000018	16.8656349
2001bf	0.0152000003	14.5169029
2001cp	0.0223999992	15.4470863
2001da	0.0160000008	14.674015
2001eh	0.0362000018	16.4868698
2001g	0.0173000004	14.749733
2001ie	0.0311999992	16.1268082
2001n	0.0220999997	15.4115486
2001v	0.0160000008	14.3246078
2002bf	0.0249000005	15.3037071
2002ck	0.0303000007	16.1282616
2002de	0.0283000004	16.0202713
2002do	0.0152000003	14.7583694
2002g	0.0344999991	16.4782448
2002hd	0.0359999985	16.1792603
2002he	0.0248000007	15.756176
2002hu	0.0292000007	16.4925652
2002hw	0.0163000003	14.9532547
2002jy	0.0186999999	15.5483017
2002kf	0.0195000004	15.2569122
2003ch	0.0255999994	16.1847229
2003cq	0.0337000005	16.3436928
2003ic	0.0546000004	17.1095581
2003it	0.0240000002	15.6761856
2003iv	0.0335999988	16.505394
2003kc	0.0340999998	16.3419037
2003u	0.0261000004	15.8604164
2003w	0.0210999995	15.160717
2004as	0.0320999995	16.3959961
2004bg	0.0220999997	15.4221306
2004l	0.0333999991	16.37994
2005eu	0.0340999998	16.4425392
2005hf	0.0421000011	16.9004669
2005hj	0.057599999	17.5802574
2005ls	0.0205000006	15.1172791
2005lz	0.0401999988	16.8745346
2005mc	0.0260000005	15.8812943
2005ms	0.0259000007	15.9159698
2006ac	0.0239000004	15.5349731
2006al	0.0689999983	18.0660477
2006an	0.0650999993	17.8066902
2006ar	0.0229000002	15.6968689
2006az	0.0315000005	16.1511345
2006bq	0.0215000007	15.4327354
2006br	0.0254999995	16.2201729
2006bt	0.0324999988	16.3130913
2006bu	0.0842999965	18.5518303
2006bw	0.0307999998	16.1289825
2006cc	0.0326999985	16.5941658
2006cf	0.0423000008	16.8928261
2006cj	0.068400003	18.2311974
2006cm	0.0153000001	15.2071838
2006cp	0.0232999995	15.3821297
2006cq	0.0491000004	17.2301369
2006cz	0.0425000004	16.4281006
2006ej	0.0192000009	15.2366791
2006en	0.0307999998	16.2791367
2006et	0.0211999994	15.3471336
2006gj	0.0276999995	16.2050056
2006gr	0.0335000008	16.4738312
2006kf	0.0208000001	15.2954559
2006le	0.0173000004	14.7300644
2006mo	0.0359999985	16.6462975
2006mp	0.0232999995	15.6983566
2006oa	0.0588999987	17.6116486
2006ob	0.0582999997	17.5582886
2006on	0.0688000023	17.9866371
2006os	0.0320999995	16.1480751
2006ot	0.0522000007	17.1743164
2006qo	0.0307999998	16.0935059
2006s	0.0329000019	16.4417686
2006sr	0.023	15.5706444
2006td	0.0149999997	14.8797722
2006te	0.0320999995	16.3703613
2007ae	0.0643000007	17.6755028
2007ai	0.0320000015	16.3266907
2007au	0.0208999999	15.2028999
2007bc	0.0219000001	15.3489914
2007bd	0.0320000015	16.0884972
2007ca	0.0151000004	15.0258751
2007ci	0.0192000009	14.9915619
2007co	0.0265999995	15.823494
2007cp	0.0377000012	16.2952156
2007cq	0.0247000009	15.4136925
2007f	0.0241999999	15.6893806
2007o	0.0366000012	16.4712906
2007qe	0.0229000002	15.6386261
2007r	0.0311999992	16.3828583
2007s	0.0149999997	14.611412
2008af	0.0340999998	16.2704735
2008bf	0.0251000002	15.4482765
2008l	0.0188999996	14.8747025
2004ef	0.0298021361	15.9709206
2004gc	0.0321340151	15.8781281
2004gs	0.0275687259	15.9754715
2004gu	0.046967335	16.9944153
2005a	0.0183152314	14.8717537
2005ag	0.0800481439	18.1857109
